,,2016 a 2018,,2019 a 2023,,,
PND2T501N0,V1028167,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T502N0,V1028168,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T503N0,V1028169,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T504N0,V1028170,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T505N0,V1028171,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T506N0,V1028172,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T507N0,V1028173,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T508N0,V1028174,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T509N0,V1028175,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T510N0,V1028176,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T511N0,V1028177,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T512N0,V1028178,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T513N0,V1028179,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T514N0,V1028180,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T515N0,V1028181,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T516N0,V1028182,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T517N0,V1028183,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T518N0,V1028184,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T519N0,V1028185,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T520N0,V1028186,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T521N0,V1028187,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T522N0,V1028188,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T523N0,V1028189,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T524N0,V1028190,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T525N0,V1028191,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T526N0,V1028192,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T527N0,V1028193,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T528N0,V1028194,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T529N0,V1028195,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T530N0,V1028196,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T531N0,V1028197,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T532N0,V1028198,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T533N0,V1028199,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T534N0,V1028200,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
,,,,,,,
PND2T535N0,V1037,,,,Projeção da população por níveis geográficos (morador selecionado)  (referência: mês do meio),,
PND2T536N0,V1038,,,,Projeção da população do trimestre por sexo e idade (referência: mês do meio),,
PND2T537N0,V1035,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista sem calibração pela projeção de população,,
PND2T538N0,V1036,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
,,,,,,,
PND2T539N0,V1036001,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T540N0,V1036002,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T541N0,V1036003,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T542N0,V1036004,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T543N0,V1036005,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T544N0,V1036006,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T545N0,V1036007,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T546N0,V1036008,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T547N0,V1036009,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T548N0,V1036010,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T549N0,V1036011,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T550N0,V1036012,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T551N0,V1036013,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T552N0,V1036014,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T553N0,V1036015,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T554N0,V1036016,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T555N0,V1036017,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T556N0,V1036018,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T557N0,V1036019,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T558N0,V1036020,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T559N0,V1036021,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T560N0,V1036022,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T561N0,V1036023,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T562N0,V1036024,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T563N0,V1036025,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T564N0,V1036026,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T565N0,V1036027,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T566N0,V1036028,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T567N0,V1036029,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T568N0,V1036030,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T569N0,V1036031,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T570N0,V1036032,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T571N0,V1036033,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T572N0,V1036034,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T573N0,V1036035,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T574N0,V1036036,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T575N0,V1036037,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T576N0,V1036038,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T577N0,V1036039,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T578N0,V1036040,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T579N0,V1036041,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T580N0,V1036042,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T581N0,V1036043,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T582N0,V1036044,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T583N0,V1036045,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T584N0,V1036046,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T585N0,V1036047,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T586N0,V1036048,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T587N0,V1036049,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T588N0,V1036050,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T589N0,V1036051,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T590N0,V1036052,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T591N0,V1036053,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T592N0,V1036054,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T593N0,V1036055,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T594N0,V1036056,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T595N0,V1036057,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T596N0,V1036058,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T597N0,V1036059,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T598N0,V1036060,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T599N0,V1036061,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T600N0,V1036062,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T601N0,V1036063,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T602N0,V1036064,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T603N0,V1036065,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T604N0,V1036066,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T605N0,V1036067,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T606N0,V1036068,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T607N0,V1036069,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T608N0,V1036070,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T609N0,V1036071,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T610N0,V1036072,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T611N0,V1036073,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T612N0,V1036074,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T613N0,V1036075,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T614N0,V1036076,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T615N0,V1036077,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T616N0,V1036078,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T617N0,V1036079,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T618N0,V1036080,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T619N0,V1036081,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T620N0,V1036082,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T621N0,V1036083,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T622N0,V1036084,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T623N0,V1036085,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T624N0,V1036086,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T625N0,V1036087,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T626N0,V1036088,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T627N0,V1036089,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T628N0,V1036090,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T629N0,V1036091,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T630N0,V1036092,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T631N0,V1036093,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T632N0,V1036094,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T633N0,V1036095,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T634N0,V1036096,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T635N0,V1036097,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T636N0,V1036098,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T637N0,V1036099,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T638N0,V1036100,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T639N0,V1036101,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T640N0,V1036102,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T641N0,V1036103,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T642N0,V1036104,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T643N0,V1036105,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T644N0,V1036106,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T645N0,V1036107,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T646N0,V1036108,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T647N0,V1036109,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T648N0,V1036110,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T649N0,V1036111,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T650N0,V1036112,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T651N0,V1036113,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T652N0,V1036114,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T653N0,V1036115,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T654N0,V1036116,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T655N0,V1036117,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T656N0,V1036118,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T657N0,V1036119,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T658N0,V1036120,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T659N0,V1036121,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T660N0,V1036122,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T661N0,V1036123,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T662N0,V1036124,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T663N0,V1036125,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T664N0,V1036126,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T665N0,V1036127,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T666N0,V1036128,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T667N0,V1036129,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T668N0,V1036130,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T669N0,V1036131,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T670N0,V1036132,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T671N0,V1036133,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T672N0,V1036134,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T673N0,V1036135,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T674N0,V1036136,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T675N0,V1036137,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T676N0,V1036138,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T677N0,V1036139,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T678N0,V1036140,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T679N0,V1036141,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
PND2T680N0,V1036142,,,6 dígitos e 8 casas decimais,Peso trimestral do morador selecionado com correção de não entrevista com calibração pela projeção de população,,
